Job Title,Location,Company,Job Type,Pay,Rating
Software Engineer II,Seattle,"VIZIO, Inc.",Full-time,"$96,000 - $140,000 a year",3.6
"Senior Full Stack Software Engineer, DVM",Remote,Credit Acceptance,N/A,N/A,N/A
"Software Engineer, Enterprise Applications",San Bruno,Verily,N/A,N/A,N/A
Full Stack Software Developer,Annapolis Junction,Cornerstone Defense,Contract,"$170,000 - $190,000 a year",3.8
Sr. Software Engineer,San Jose,Adobe,N/A,N/A,N/A
"Software Engineer, HAP Tech",New York,"Berkeley Research Group, LLC",N/A,N/A,N/A
Software Engineer II - App Platform,Hybrid work in San Mateo,"Guidewire Software, Inc.",Full-time,"$100,000 - $174,000 a year",3.7
Senior Software Engineer (Full Stack),Remote in Austin,Productable,N/A,N/A,N/A
"Software Engineer, Accounts",Remote in San Francisco,Vercel,N/A,N/A,N/A
Mid-Level Software Developer,Fort Collins,Triple Crown Sports,N/A,N/A,N/A
Software Engineer II,Remote in Buffalo,M&T Bank,Full-time,"$143,666 - $148,000 a year",3.4
"Software Engineer, Backend",Palo Alto,Mashgin,Full-time,"$150,000 - $275,000 a year",N/A
"Software Engineer, Knowledge Platform",Remote,Dataminr,N/A,N/A,N/A
Senior Software Engineer 674,Hybrid work in New York,Protegrity,N/A,N/A,N/A
Junior Full Stack Web Application Developer (Remote),Remote,"3GIMBALS, LLC",N/A,N/A,N/A
"Software Engineer, Platform",Remote,Vercel,Full-time,"$196,000 - $294,000 a year",4.5
"Software Engineer, Sim2Real",Hybrid work in Mountain View,Waymo,N/A,N/A,N/A
Software Engineer,Hybrid work in New York,Ramp Financial,N/A,N/A,N/A
Sr. Full Stack Software Engineer (NYC Hybrid),Hybrid work in New York,T. Rowe Price,Full-time,"$118,000 - $253,000 a year",3.6
Software Engineer,Los Angeles,Viant,N/A,N/A,N/A
Software Developer II,Hybrid work in Seattle,Redfin,N/A,N/A,N/A
"Software Development Engineer, Sales Platform",Hybrid work in Seattle,PitchBook Data,Full-time,"$145,000 - $165,000 a year",3.8
Software Engineer - Infrastructure Team,New York,WalkMe,N/A,N/A,N/A
Senior Full Stack Software Engineer,New York,IGN,N/A,N/A,N/A
MTS Software Engineer,San Francisco,Salesforce,Full-time,"$155,605 - $188,600 a year",4.2
Associate Software Engineer,Newark,Prudential,N/A,N/A,N/A
Senior Software Engineer,Hybrid work in Texas,Simplifi Holdings LLC,Full-time,"$130,000 - $150,000 a year",N/A
"Senior Software Engineer, Frontend (Consumer Products)",Remote,Coinbase,N/A,N/A,N/A
"Software Engineer, PatientKeeper",Boston,Commure + Athelas,N/A,N/A,N/A
Staff Software Engineer - mParticle - NYC,Hybrid work in New York,mParticle,Full-time,"$200,000 - $375,000 a year",N/A
Senior Software Development Engineer,Santa Clara,Fortinet,N/A,N/A,N/A
Senior Full Stack Web Developer,Remote,"QSC, LLC",N/A,N/A,N/A
"Senior Software Developer (Virtual, Full-time)",Jersey City,WEALTHCOUNSEL LLC,Full-time,"$125,000 - $150,000 a year",N/A
"Senior Software Engineer I, Delphix",Remote in Minneapolis,Perforce,N/A,N/A,N/A
Senior ML Software Development Engineer,Santa Clara,Fortinet,N/A,N/A,N/A
Senior Software Development Engineer,San Jose,Adobe,Full-time,"$153,600 - $286,600 a year",4.3
"Staff Software Engineer, Full Stack",Palo Alto,Rivian and VW Group Technology,N/A,N/A,N/A
"Software Engineer, Marketplace (Mid-level and above)",Hybrid work in San Francisco,CloudTrucks,N/A,N/A,N/A
Sr. Software Engineer,Irvine,Rivian,Full-time,"$135,100 - $168,900 a year",2.7
Python Software Engineer II,Jersey City,JPMorganChase,N/A,N/A,N/A
Solutions Software Engineer,Emeryville,Oxide Computer Company,N/A,N/A,N/A
"Sr. Engineer, Software",Remote,Verint Systems Inc.,Full-time,"$103,000 - $150,000 a year",3.5
Software Development Engineer 3,Remote in Portland,WEX Inc.,N/A,N/A,N/A
Software Engineer II,Remote,Security Innovation,Full-time,"$134,000 - $166,000 a year",3.6
"Software Engineer, Growth (Full-stack)",Chicago,ActiveCampaign,N/A,N/A,N/A
"Full Stack Engineer (React, Node.js)",Remote,ghSMART,N/A,N/A,N/A
Senior Software Developer,Remote,PC Bennett Solutions,Full-time,"$120,000 - $150,000 a year",N/A
Senior Software Developer – Flex Schedule,Remote,Grant Street Group,N/A,N/A,N/A
Software Engineering LMTS,Bellevue,Salesforce,N/A,N/A,N/A
"Sr Engineer, Software",Atlanta,"T-Mobile USA, Inc.",Full-time,"$113,600 - $205,000 a year",3.7
"Senior Software Engineer- Frontend, Observability (US Remote Available)",Remote,Splunk,N/A,N/A,N/A
Senior Software Engineer - Streaming,Hybrid work in Palo Alto,Rivian and VW Group Technology,N/A,N/A,N/A
"Software Engineer, Money",Remote,Vercel,Full-time,"$196,000 - $294,000 a year",4.5
Senior Software Engineer,California,Broadcom,N/A,N/A,N/A
Junior Software Developer,Remote in Frederick,Orases,N/A,N/A,N/A
Senior Full Stack Engineer - React,Hybrid work in New York,CVS Health,Full-time,"$92,700 - $222,480 a year",3.2
"Front-End Software Engineer, IXL Product",San Mateo,IXL Learning,N/A,N/A,N/A
Junior Software Engineer,Waterford,"Sonalysts, Inc.",Full-time,"$70,000 - $85,000 a year",3.7
SOFTWARE DEVELOPER-JUNIOR* - 04152025-66741,Remote in Nashville,Transportation,N/A,N/A,N/A
Senior Software Engineer,Remote in San Francisco,Imgix,N/A,N/A,N/A
Software Engineer III - Core Java Developer (Global Markets Reg Reporting and Ops Technology),New York,Bank of America,Full-time,"$100,700 - $180,000 a year",3.8
"Software Engineer, Backend, Level 4",Hybrid work in Los Angeles,Snapchat,N/A,N/A,N/A
Senior Software Engineer,New York,TP ICAP,N/A,N/A,N/A
Mid-Level Software Engineer,Hybrid work in Carlsbad,KBR,N/A,N/A,N/A
Senior Software Engineer,San Mateo,IXL Learning,Full-time,"$130,000 - $200,000 a year",3.1
Senior Software Engineer,Chicago,The University of Chicago,N/A,N/A,N/A
Software Engineer,San Francisco,"Twitch Interactive, Inc.",N/A,N/A,N/A
Software Developer (JAVA),McKinney,BNS International,Full-time,"$149,781 a year",N/A
Software Engineer - Backend,San Francisco,Plaid,N/A,N/A,N/A
Software Engineer - API Platform,Remote in Los Angeles,United Talent Agency (UTA),N/A,N/A,N/A
Software Developer,Suitland,"Earth Resources Technology, Inc",Full-time,"$62,000 - $275,000 a year",3.6
Principal Software Engineer - API's and Authentication,Remote,Pluralsight,N/A,N/A,N/A
Senior Developer - Web Software,Denver,"Frontier Airlines, Inc",Full-time,N/A,3.3
Senior Frontend Engineer - Intercom,San Mateo,Verkada,N/A,N/A,N/A
Software Engineer,Remote in Washington,Base-2 Solutions,N/A,N/A,N/A
"Senior Software Engineer (I, II, III)",South San Francisco,Cellares,Full-time,"$90,000 - $210,000 a year",N/A
Software Engineer,Melbourne,Thales,N/A,N/A,N/A
Senior Software Engineer,Remote,Velo3D,N/A,N/A,N/A
"Front End Software Engineer, Leverage Engineering",San Francisco,OpenAI,Full-time,"$255,000 - $405,000 a year",4.5
"Senior Software Development Engineer, Digital Experience",Hybrid work in Seattle,Qualtrics,N/A,N/A,N/A
Software Engineer,New York,Persistent Systems,N/A,N/A,N/A
Software Engineer,New York,Arch,Full-time,"$100,000 - $250,000 a year",3.9
Sr. Software Engineer,Palo Alto,Stanford Health Care,N/A,N/A,N/A
Senior Software Engineer,Texas,Dutech Systems,N/A,N/A,N/A
Software Engineer II ( Full-Stack) - #1721,Remote in United States,MeridianLink,Full-time,"$114,300 - $161,400 a year",3.4
Experienced Software Engineer - Fullstack,San Francisco,Plaid,N/A,N/A,N/A
Senior Software Engineer,Remote,Advantage Pro,Full-time,$70 - $80 an hour,N/A
Staff Full Stack Software Engineer,Hybrid work in San Jose,PayPal,N/A,N/A,N/A
Sr. Software Engineer,Remote,Penn Mutual,N/A,N/A,N/A
Senior Software Engineer - Frontend,Remote in United States,kraken,Full-time,"$127,000 - $203,000 a year",3.6
Senior Software Developer,Remote,U-Haul,N/A,N/A,N/A
Software Development Engineer 3,Remote in Portland,WEX Inc.,N/A,N/A,N/A
"Senior, Software Engineer",Denver,"VIZIO, Inc.",Full-time,"$100,000 - $150,000 a year",3.6
Senior Software Engineer,Seattle,Payscale,N/A,N/A,N/A
Sr Software Development Engineer,Hybrid work in Wellesley,CVS Health,N/A,N/A,N/A
Software Developer,McKinney,BNS International,Full-time,"$149,781 a year",N/A
Senior Software Engineer - Streaming,Hybrid work in Palo Alto,Rivian and VW Group Technology,N/A,N/A,N/A
"Senior Software Engineer, Fullstack",Mountain View,Moveworks.ai,N/A,N/A,N/A
Software Engineer - Backend,Seattle,Hive,Full-time,"$120,000 - $180,000 a year",3.4
Software Engineer,Hybrid work in New York,Ramp Financial,N/A,N/A,N/A
"Software Engineer, Healthcare",San Francisco,OpenAI,N/A,N/A,N/A
Senior Software Developer – Flex Schedule,Remote,Grant Street Group,Full-time,"$100,000 - $200,000 a year",4.2
Senior Software Engineer,San Mateo,IXL Learning,N/A,N/A,N/A
"Sr. MTS, Software Engineer",Hybrid work in San Jose,PayPal,N/A,N/A,N/A
"Frontend Engineer, Agentic Tooling",Hybrid work in San Francisco,OpenAI,Full-time,"$220,000 - $320,000 a year",4.5
Software Engineer (entry-level),Hybrid work in Tysons Corner,Nodal Exchange,N/A,N/A,N/A
Software Engineer – Artifact Management & Continuous Integration,San Francisco,GEICO,N/A,N/A,N/A
Python Software Engineer,New York,Old Mission,Full-time,"$175,000 - $225,000 a year",N/A
Software Engineer (Solutions Engineer III),Los Angeles,Capital Group Companies,N/A,N/A,N/A
"Software Engineer, Real Time",Seattle,OpenAI,N/A,N/A,N/A
Sr. Software Developer,Remote,Covius,Full-time,"$100,800 - $126,000 a year",3
Frontend Software Engineer - React / Typescript (Backstage),New York,Cast & Crew,N/A,N/A,N/A
"Software Engineer - Fullstack, Redmond",Redmond,Microsoft,N/A,N/A,N/A
"Software Engineer II, Recommendations",Seattle,Rover,Full-time,"$118,000 - $153,000 a year",4.3
Product Engineer (Full Stack),San Francisco,Orbis,N/A,N/A,N/A
Full-Stack Engineer,San Francisco,Spyglass Software,N/A,N/A,N/A
"Software Engineer, Site",San Francisco,Vercel,Full-time,"$196,000 - $294,000 a year",4.5
Senior Software Engineer,Los Angeles,Capital Group Companies,N/A,N/A,N/A
Full Stack Software Engineer,Chantilly,Markon,Full-time,"$150,000 - $180,000 a year",4.1
"Software Engineer - Full Stack, Visualization Tools",Foster City,Zoox,N/A,N/A,N/A
Senior Software Engineer - (100% Remote),Remote in Washington,Serco North America,N/A,N/A,N/A
"Senior Software Engineer, Sweeps - US (Remote)",Remote in San Francisco,Weights & Biases,Full-time,"$177,000 - $245,000 a year",N/A
"Senior Software Engineer, UI",New York,MarketAxess Holdings,N/A,N/A,N/A
"Software Engineer, Platform Engineering",Remote in San Diego,ResMed,N/A,N/A,N/A
Senior Software Engineer - Backend,San Francisco,Ryder System,Full-time,"$200,000 - $296,000 a year",3.2
Software Development Engineer II,Hybrid work in Springfield,Expedia Group,N/A,N/A,N/A
Deloitte Technology |Product Engineering |Fullstack Software Engineer| Vision360,San Diego,Deloitte,N/A,N/A,N/A
"Software Engineer (JavaScript, Next.js, React)",New York,Complex,Full-time,"$115,000 - $140,000 a year",3.9
Software Engineer - API Designer,San Francisco,OpenAI,N/A,N/A,N/A
"Distinguished MTS, Software Engineer",Hybrid work in San Jose,PayPal,N/A,N/A,N/A
Software Engineer - Backend,San Francisco,Hive,Full-time,"$120,000 - $180,000 a year",N/A
Sr. Software Engineer,Remote,Penn Mutual,N/A,N/A,N/A
Software Engineer,Remote in Washington,Base-2 Solutions,Full-time,"$130,711.94 - $174,282.58 a year",3.3
MTS Software Engineer,San Francisco,Salesforce,N/A,N/A,N/A
Associate Software Engineer,Newark,Prudential,N/A,N/A,N/A
Senior Software Engineer-Full Stack,Hybrid work in New York,K. Hovnanian Homes,N/A,N/A,N/A
Software Development Engineer - US Federal,Atlanta,Workday,N/A,N/A,N/A
"Senior Software Engineer II, Backend",Remote in California,Second Dinner,N/A,N/A,N/A
Staff Full-Stack Engineer,Hybrid work in Bellevue,Okta,N/A,N/A,N/A
"Senior Software Engineer - Enrichments, Seattle",Hybrid work in Seattle,Qualtrics,N/A,N/A,N/A
Senior/Staff Software Engineer - Full Stack,Remote,Eppo,N/A,N/A,N/A
Senior Software Engineer,Hybrid work in New York,Trading Technologies,N/A,N/A,N/A
Senior Software Engineer,Tempe,Endpoint Closing,N/A,N/A,N/A
Full Stack Web Engineer,Ashburn,Howard Hughes Medical Institute,N/A,N/A,N/A
"Software Development Engineer, Web Information System",Bellevue,"Amazon Development Center U.S., Inc.",N/A,N/A,N/A
Software Engineer (Flutter),Palo Alto,Chai,N/A,N/A,N/A
"Software Engineer, Growth (Full-stack)",Chicago,ActiveCampaign,Full-time,"$104,000 - $143,000 a year",3.2
FLEX Senior Software Engineer - Front End,Hybrid work in Bethesda,"Marriott International, Inc",Full-time,$47.35 - $84.09 an hour,4
Senior Full Stack Web Developer,Remote,"QSC, LLC",Full-time,"$123,000 - $161,000 a year",3.3
Software Engineer,Melbourne,Thales,Full-time,"$81,230.25 - $141,698.00 a year",3.9
Senior Software Engineer - Streaming,Hybrid work in Palo Alto,Rivian and VW Group Technology,Full-time,"$132,100 - $165,100 a year",N/A
"Software Engineer, Backend",Seattle,OpenAI,Full-time,"$245,000 - $385,000 a year",4.5
Senior Software Engineer - Javascript Stack - Full Stack,Louisville,Gaia,Full-time,"$140,000 - $190,000 a year",2
Software Engineer (full-stack),San Diego,Whova,Full-time,"$70,000 - $100,000 a year",N/A
Full Stack Engineer,San Francisco,Rivio AI INC,Full-time,"$140,000 - $180,000 a year",N/A
"Software Engineer, Weave - San Francisco (Hybrid)",Remote in San Francisco,Weights & Biases,Full-time,"$177,000 - $245,000 a year",N/A
Forward Deployed Software Engineer,Hybrid work in San Francisco,OpenAI,Full-time,"$200,000 - $310,000 a year",4.5
Front End Software Applications Developer,University Park,Penn State University,Full-time,"$76,700 - $129,500 a year",4.3
"Senior Software Engineer- Frontend, Observability (US Remote Available)",Remote,Splunk,Full-time,"$139,840 - $240,350 a year",4.1
Full Stack Developer,Remote,CareCentrix,Full-time,"$85,000 - $110,000 a year",2.8
Deloitte Technology |Product Engineering |Fullstack Software Engineer| Vision360,New York,Deloitte,Full-time,"$93,000 - $191,000 a year",3.9
"Senior Software Engineer- Frontend, Observability (US Remote Available)",Remote,Splunk,Full-time,"$139,840 - $240,350 a year",4.1
Senior Frontend Software Engineer,Chicago,Ubiety,Full-time,"$145,000 - $165,000 a year",N/A
Senior Full Stack Engineer - React,Hybrid work in New York,CVS Health,Full-time,"$92,700 - $222,480 a year",3.2
"Software Engineer, Real Time",Seattle,OpenAI,Full-time,"$255,000 - $405,000 a year",4.5
Software Engineer (L4) - Consumer Engineering,Remote,Netflix,Full-time,"$100,000 - $720,000 a year",3.9
Senior Software Development Engineer,New York,Freddie Mac,Full-time,"$116,000 - $174,000 a year",3.8
"Staff Software Engineer, Fullstack (Developer - Onchain Payments)",Remote,Coinbase,Full-time,"$218,025 - $256,500 a year",3.9
"Senior Software Engineer, 1",New York,Dotdash Meredith,Full-time,"$145,000 - $160,000 a year",3.2
Senior Staff Full Stack Software Engineer,Hybrid work in Chicago,Grainger,Full-time,"$143,000 - $238,400 a year",3.6
Software Engineer,Cerritos,V-Soft Solutions,Full-time,"$176,134 a year",N/A
Staff Software Engineer (Back End),Seattle,Viant,Full-time,"$150,000 - $210,000 a year",4.4
Sr Software Engineer,San Francisco,Uber,Full-time,"$198,000 - $220,000 a year",3.4
Application Software Engineer,Huntington Beach,Safran,Full-time,"$96,760 - $152,050 a year",3.7
Senior Software Engineer,Westminster,Caterpillar,Full-time,"$161,886 - $179,640 a year",3.8
"Senior Software Engineer, Workspaces - US (Remote)",Remote in San Francisco,Weights & Biases,Full-time,"$177,000 - $245,000 a year",N/A
Senior Software Engineer,Hybrid work in Texas,Simplifi Holdings LLC,Full-time,"$130,000 - $150,000 a year",N/A
Senior Software Developer,Remote,U-Haul,Full-time,"$7,623.20 - $10,046.40 a month",3.4
Senior Software Development Engineer,Remote in Austin,CVS Health,Full-time,"$92,700 - $185,400 a year",3.2
Staff Software Engineer,Bellevue,Chewy,Full-time,"$169,500 - $271,500 a year",2.8
Software Engineer,Hybrid work in State College,Siemens,Full-time,"$87,600 - $157,700 a year",4
Software Engineer,Hybrid work in Denver,"Medpace, Inc.",Full-time,"$70,000 - $145,000 a year",2.6
Software Engineer,Los Angeles,Viant,Full-time,"$130,000 - $150,000 a year",4.4
Senior Software Engineer - (100% Remote),Remote in Washington,Serco North America,Full-time,"$121,744.58 - $210,984.64 a year",3.4
Staff Software Engineer - mParticle - NYC,Hybrid work in New York,mParticle,Full-time,"$200,000 - $375,000 a year",N/A
Senior Software Engineer,Remote,Velo3D,Full-time,"$190,000 - $210,000 a year",3.3
Software Engineer,University Park,Penn State University,Full-time,"$109,300 - $191,000 a year",4.3
"Software Development Engineer, Sales Platform",Hybrid work in Seattle,PitchBook Data,Full-time,"$145,000 - $165,000 a year",3.8
Software Engineer,College Park,University of Maryland,Full-time,"$70,000 - $73,000 a year",4.1
"Distinguished MTS, Software Engineer",Hybrid work in San Jose,PayPal,Full-time,"$144,800 - $319,000 a year",3.8
Senior Software Engineer - API,Plano,DISH,Full-time,"$96,250 - $137,500 a year",3.2
"Full Stack Engineer (React, Node.js)",Remote,ghSMART,Full-time,"$150,000 - $195,000 a year",N/A
"Software Engineer, PatientKeeper",Boston,Commure + Athelas,Full-time,"$130,000 - $190,000 a year",N/A
Full Stack Software Enginner II,Englewood,DISH,Full-time,"$72,400 - $103,400 a year",3.2
Senior Software Development Engineer,Santa Clara,Fortinet,Full-time,"$140,000 - $180,000 a year",3.7
MTS Software Engineer,San Francisco,Salesforce,Full-time,"$155,605 - $188,600 a year",4.2
"Staff Software Engineer, Full Stack",Hybrid work in San Jose,PayPal,Full-time,"$84,500 - $204,600 a year",3.8
"Software Engineer, Real Time",Seattle,OpenAI,Full-time,"$255,000 - $405,000 a year",4.5
Software Development III 2025-00725,Cheyenne,State of Wyoming,Full-time,"$5,636.27 a month",3.6
Software Engineer: Platform Software and Services,Foster City,Zoox,Full-time,"$165,000 - $264,000 a year",3.1
Software Engineer II,Seattle,HNTB Corporation,Full-time,"$90,753.47 - $136,130.21 a year",3.7
AI Software Developer,Ann Arbor,University of Michigan,Full-time,"$75,000 - $80,000 a year",4.3
Software Engineer 2025,Hybrid work in Chicago,Marquette Associates Inc,Full-time,"$130,000 - $140,000 a year",N/A
SOFTWARE ENGINEER TRAINEE,Oyster Bay,Mill-Max,Full-time,"$60,000 - $90,000 a year",N/A
"Software Engineer, Batch Data",Hybrid work in Seattle,Tecton,Full-time,"$197,000 - $237,000 a year",N/A
"Sr. Software Engineer, Runtime",Seattle,Viant,Full-time,"$130,000 - $180,000 a year",4.4
Senior Software Engineer - Frontend,Remote in United States,kraken,Full-time,"$127,000 - $203,000 a year",3.6
Software Engineer,Hybrid work in State College,Siemens,Full-time,"$87,600 - $157,700 a year",4
"Senior, Software Engineer",Denver,"VIZIO, Inc.",Full-time,"$100,000 - $150,000 a year",3.6
Java Full Stack Developer (contract),Jersey City,BNY Mellon,Contract,$49.02 - $61.27 an hour,3.5
"Senior Software Engineer, New Product Introduction",Menlo Park,PacBio,Full-time,"$112,000 - $168,000 a year",3.7
Software Engineer II - Backend,Redwood City,Observe.AI,Full-time,"$150,000 - $175,000 a year",N/A
Entry Level Software Engineer,San Diego,EchoStar,Full-time,"$65,500 - $90,000 a year",3.2
"Software Engineer, Lab Systems",Fremont,Neuralink,Full-time,"$119,000 - $200,000 a year",1.5
Software Engineer (1-3 Years Experience),Hybrid work in Spokane,Commerce Architects,Full-time,"$85,000 - $105,000 a year",N/A
Software Engineer,Sacramento,Siemens,Full-time,"$121,451 - $162,000 a year",4
Software Engineer,Peoria,Caterpillar,Full-time,"$132,101 - $155,400 a year",3.8
Software Engineer Trainee,Oyster Bay,"Mill-Max Mfg., Corp",Full-time,"$60,000 - $90,000 a year",N/A
Staff Software Engineer,Seattle,Hertz,Full-time,"From $200,000 a year",3.2
Senior Software Engineer,Chevy Chase,GEICO,Full-time,N/A,N/A
"Software Development Engineer, FinTech",Seattle,Amazon.com Services LLC,Full-time,"$129,300 - $223,600 a year",3.5
"Software Engineer, Cybersecurity",Hybrid work in Santa Clara,Johnson & Johnson,Full-time,"$89,000 - $165,600 a year",4.2
"Senior Software Engineer, API",Remote,Headspace,Full-time,"$122,400 - $195,500 a year",3.6
"Sr. Engineer, Software",Remote,Verint Systems Inc.,Full-time,N/A,N/A
Senior Backend Software Engineer - Data,Chevy Chase,GEICO,Full-time,"$90,000 - $185,000 a year",3.1
Backend Software Developer,Las Vegas,"Ellis Island Casino, Village Pubs, Mt. Charleston",Full-time,"$90,000 - $120,000 a year",N/A
Sr Software Development Engineer,Hybrid work in Wellesley,CVS Health,Full-time,"$92,700 - $222,480 a year",3.2
Senior Software Engineer,San Mateo,IXL Learning,Full-time,"$130,000 - $200,000 a year",3.1
Senior Software Engineer - Streaming,Hybrid work in Palo Alto,Rivian and VW Group Technology,Full-time,"$132,100 - $165,100 a year",N/A
"Software Engineer II, Recommendations",Seattle,Rover,Full-time,"$118,000 - $153,000 a year",4.3
